,zpid,city,zipcode,homeType,yearBuilt,latestPrice,numPriceChanges,avgSchoolDistance,Candidate
12892,58315775,austin,78739,Single Family,2001,519900.0,1,1.3333333333333333,0
12893,29487076,austin,78749,Single Family,1992,455000.0,3,1.6333333333333335,0
12894,29499464,austin,78749,Single Family,1989,299843.0,3,1.1666666666666667,0
12895,29475280,austin,78704,Single Family,1954,709000.0,3,1.7333333333333332,1
12896,29505275,austin,78739,Single Family,1989,515000.0,5,1.3666666666666665,0
12897,29479570,austin,78736,Single Family,1980,435000.0,3,3.4666666666666663,0
12898,29483576,austin,78749,Single Family,1979,349900.0,4,2.9666666666666663,0
12899,29495961,austin,78749,Single Family,1997,430000.0,4,1.3333333333333333,0
12900,29492069,austin,78749,Single Family,1997,314000.0,7,1.3666666666666665,0
12901,64485779,austin,78745,Condo,2004,315000.0,2,1.3333333333333333,1
12902,119631771,austin,78739,Single Family,2013,474900.0,2,2.3000000000000003,0
12903,29487070,austin,78749,Single Family,1990,395000.0,2,1.6666666666666667,0
12904,29475279,austin,78704,Single Family,1949,575000.0,3,1.7333333333333332,1
12905,29330246,austin,78746,Single Family,1973,2150000.0,1,1.2666666666666666,0
12906,64562771,austin,78739,Single Family,2003,705000.0,1,1.6666666666666667,0
12907,29486570,austin,78749,Single Family,1988,395000.0,2,3.3666666666666667,0
12908,29333742,austin,78703,Single Family,2018,1375000.0,1,1.0333333333333334,1
12909,125888561,austin,78737,Vacant Land,1979,179900.0,6,2.266666666666667,0
12910,58315769,austin,78739,Single Family,2002,549000.0,4,1.3666666666666665,0
12911,29475276,austin,78704,Single Family,1945,680000.0,2,1.7333333333333332,1
12912,29495957,austin,78749,Single Family,1986,310000.0,3,2.033333333333333,0
12913,60135561,austin,78749,Single Family,2001,395000.0,1,1.4333333333333331,0
12914,29507769,austin,78739,Single Family,1997,560000.0,2,1.4,0
12915,58313272,austin,78745,Single Family,1960,475000.0,4,1.2333333333333334,1
12916,29496657,austin,78749,Single Family,1998,455000.0,4,1.0,0
12917,29484070,austin,78749,Single Family,1984,600000.0,3,3.5,0
12918,29332238,austin,78703,Single Family,1986,635000.0,1,0.7333333333333334,1
12919,58312770,austin,78745,Single Family,1959,629900.0,10,1.2333333333333334,1
12920,29495952,austin,78749,Single Family,1991,328200.0,3,1.8666666666666665,0
12921,2081450233,austin,78746,Single Family,2020,2195000.0,3,1.1,0
12922,29484068,austin,78749,Single Family,1986,425000.0,2,3.5,0
12923,69809267,austin,78739,Single Family,2003,575000.0,6,1.7,0
12924,29488268,austin,78745,Single Family,1966,299900.0,5,0.9333333333333332,1
12925,29330232,austin,78746,Single Family,1951,1299900.0,6,1.0,0
12926,29479068,austin,78749,Single Family,1982,379000.0,3,2.4,0
12927,29499447,austin,78749,Single Family,1991,370000.0,1,1.1666666666666667,0
12928,64789767,austin,78739,Single Family,2003,699000.0,2,1.6333333333333335,0
12929,29487551,austin,78737,Single Family,1976,549000.0,4,2.3000000000000003,0
12930,29486566,austin,78749,Single Family,1992,342500.0,8,3.4,0
12931,29329157,austin,78703,Single Family,1905,1992000.0,4,0.6666666666666666,1
12932,29496056,austin,78749,Single Family,1991,367000.0,1,2.033333333333333,0
12933,29505264,austin,78739,Single Family,1991,279000.0,7,1.4333333333333331,0
12934,29485265,austin,78745,Single Family,1968,420000.0,2,1.0666666666666669,1
12935,29478050,austin,78736,Single Family,1982,315000.0,1,3.6666666666666665,0
12936,58316760,austin,78739,Single Family,1999,575000.0,1,1.5333333333333332,0
12937,29496445,austin,78749,Single Family,2001,445000.0,3,1.4333333333333331,0
12938,29329730,austin,78703,Single Family,2019,299900.0,6,0.4666666666666666,1
12939,144362048,austin,78736,Single Family,1972,350000.0,1,2.8000000000000003,0
12940,29485255,austin,78745,Single Family,1972,444000.0,5,0.7333333333333333,1
12941,29487064,austin,78749,Single Family,1992,430000.0,4,1.5666666666666669,0
12942,29496440,austin,78749,Single Family,2002,399900.0,6,1.4666666666666666,0
12943,29505258,austin,78739,Single Family,1990,535000.0,1,1.4333333333333331,0
12944,29331729,austin,78703,Single Family,1939,1599000.0,3,0.7999999999999999,1
12945,29479537,austin,78736,Single Family,1982,365000.0,7,3.5666666666666664,0
12946,29491062,austin,78749,Single Family,1991,379000.0,5,1.9,0
12947,58313754,austin,78745,Single Family,1960,469500.0,3,1.1333333333333333,1
12948,58316756,austin,78739,Single Family,1999,483000.0,3,1.4,0
12949,29335225,austin,78703,Multiple Occupancy,2020,2925000.0,1,0.8333333333333334,1
12950,29495938,austin,78749,Single Family,1985,269997.0,1,1.7333333333333334,0
12951,29483562,austin,78749,Single Family,1994,550000.0,1,2.9,0
12952,29488253,austin,78745,Single Family,1967,529000.0,1,1.0,1
12953,29479535,austin,78736,Single Family,1982,359900.0,8,3.5666666666666664,0
12954,29499437,austin,78749,Single Family,1989,355000.0,3,1.2,0
12955,58316754,austin,78739,Single Family,1999,425000.0,2,1.4333333333333331,0
12956,29485253,austin,78745,Multiple Occupancy,1982,415000.0,2,1.2666666666666668,1
12957,29329223,austin,78703,Single Family,1927,960000.0,5,0.6333333333333333,1
12958,29484061,austin,78749,Single Family,1984,399000.0,2,3.4333333333333336,0
12959,64668253,austin,78739,Single Family,2004,610000.0,3,1.5333333333333332,0
12960,29479524,austin,78736,Single Family,1981,290000.0,5,3.333333333333333,0
12961,58315435,austin,78749,Single Family,2001,419000.0,4,1.6,0
12962,29481061,austin,78749,Single Family,1968,439000.0,1,2.533333333333333,0
12963,145655521,austin,78737,Single Family,2016,459900.0,1,2.8000000000000003,0
12964,29333464,austin,78703,Condo,1983,335000.0,2,0.7666666666666666,1
12965,29507753,austin,78739,Single Family,1997,409000.0,1,1.3,0
12966,2082493252,austin,78745,Single Family,2007,424900.0,3,0.8333333333333334,1
12967,58315431,austin,78749,Single Family,2000,370000.0,9,1.6,0
12968,29487060,austin,78749,Single Family,1987,400000.0,2,1.5666666666666669,0
12969,29492021,austin,78749,Single Family,1996,435000.0,2,1.3,0
12970,29504753,austin,78739,Single Family,1993,435000.0,3,1.1666666666666667,0
12971,29331718,austin,78703,Single Family,2015,4745000.0,10,0.7999999999999999,1
12972,29496427,austin,78749,Single Family,1998,429900.0,5,1.0666666666666669,0
12973,29484521,austin,78749,Single Family,1998,719000.0,3,1.8666666666666665,0
12974,29505252,austin,78739,Single Family,1990,625000.0,2,1.5,0
12975,29481560,austin,78749,Single Family,1991,433900.0,1,3.6333333333333333,0
12976,29488246,austin,78745,Single Family,1966,399900.0,2,1.0,1
12977,58315426,austin,78749,Single Family,2001,415000.0,2,1.6333333333333335,0
12978,29479518,austin,78736,Single Family,1981,255000.0,7,3.6666666666666665,0
12979,58313742,austin,78745,Single Family,1972,525000.0,4,1.1333333333333333,1
12980,64867751,austin,78739,Single Family,2003,595000.0,1,1.5,0
12981,29479060,austin,78749,Single Family,1981,365000.0,1,2.333333333333333,0
12982,58312964,austin,78745,Single Family,1959,525000.0,3,1.4,1
